Tag,Ending,Count,Percent
adv,other,6872,57.69%
adv,-e,1631,13.69%
adv,-t,1593,13.37%
adv,vowel,1719,14.43%
adv,-d,64,0.54%
adv,-en,29,0.24%
adv,-eth,1,0.01%
adv,-ed,2,0.02%
indef_art,vowel,2520,94.28%
indef_art,other,150,5.61%
indef_art,-t,1,0.04%
indef_art,-e,2,0.07%
adj,-t,446,8.60%
adj,-en,39,0.75%
adj,other,1956,37.73%
adj,-e,2244,43.29%
adj,-d,316,6.10%
adj,-ed,177,3.41%
adj,vowel,6,0.12%
n,-e,6486,45.20%
n,other,5356,37.32%
n,-t,1248,8.70%
n,-d,783,5.46%
n,vowel,259,1.80%
n,-en,102,0.71%
n,-ed,32,0.22%
n,-eth,84,0.59%
prep,other,8400,79.93%
prep,vowel,1446,13.76%
prep,-t,327,3.11%
prep,-e,197,1.87%
prep,-en,112,1.07%
prep,-d,25,0.24%
prep,-eth,1,0.01%
prep,-ed,1,0.01%
v%ppl_abs,-ed,80,41.67%
v%ppl_abs,-en,11,5.73%
v%ppl_abs,-d,14,7.29%
v%ppl_abs,-t,28,14.58%
v%ppl_abs,other,22,11.46%
v%ppl_abs,-e,32,16.67%
v%ppl_abs,vowel,5,2.60%
art&gram_adj,-t,341,99.42%
art&gram_adj,-e,1,0.29%
art&gram_adj,other,1,0.29%
conj,-d,6123,49.96%
conj,other,4029,32.87%
conj,-t,2056,16.77%
conj,-e,10,0.08%
conj,vowel,32,0.26%
conj,-en,7,0.06%
pron%gen,other,4466,99.42%
pron%gen,-e,20,0.45%
pron%gen,vowel,5,0.11%
pron%gen,-t,1,0.02%
def_art,-e,3870,99.90%
def_art,other,2,0.05%
def_art,vowel,1,0.03%
def_art,-t,1,0.03%
n2,-e,441,58.10%
n2,other,213,28.06%
n2,-d,47,6.19%
n2,-t,40,5.27%
n2,-ed,10,1.32%
n2,-en,6,0.79%
n2,vowel,2,0.26%
n%pl,-en,437,15.86%
n%pl,other,2298,83.41%
n%pl,-t,14,0.51%
n%pl,-e,6,0.22%
v%pt_pl,-t,13,2.00%
v%pt_pl,-e,351,53.92%
v%pt_pl,-ed,33,5.07%
v%pt_pl,-en,176,27.04%
v%pt_pl,other,35,5.38%
v%pt_pl,-d,41,6.30%
v%pt_pl,vowel,2,0.31%
v%inf,-e,4045,74.67%
v%inf,other,514,9.49%
v%inf,vowel,188,3.47%
v%inf,-en,642,11.85%
v%inf,-t,17,0.31%
v%inf,-ed,3,0.06%
v%inf,-d,8,0.15%
pron,-t,3184,68.67%
pron,other,1303,28.10%
pron,-e,102,2.20%
pron,-en,48,1.04%
v%pt_3,other,2031,37.06%
v%pt_3,-d,1052,19.20%
v%pt_3,-e,1948,35.55%
v%pt_3,-ed,264,4.82%
v%pt_3,-t,181,3.30%
v%pt_3,vowel,3,0.05%
v%pt_3,-eth,1,0.02%
n1,-e,1250,59.92%
n1,other,417,19.99%
n1,-d,94,4.51%
n1,-t,168,8.05%
n1,-ed,135,6.47%
n1,-eth,9,0.43%
n1,-en,8,0.38%
n1,vowel,5,0.24%
gram_adj,other,2914,71.88%
gram_adj,-e,388,9.57%
gram_adj,vowel,633,15.61%
gram_adj,-t,119,2.94%
n#adj,other,155,80.31%
n#adj,-e,24,12.44%
n#adj,-d,8,4.15%
n#adj,-t,2,1.04%
n#adj,-en,4,2.07%
v%pr_3,other,2739,62.81%
v%pr_3,-e,574,13.16%
v%pr_3,-t,286,6.56%
v%pr_3,-eth,739,16.95%
v%pr_3,-ed,4,0.09%
v%pr_3,vowel,16,0.37%
v%pr_3,-d,2,0.05%
v%pr_3,-en,1,0.02%
part,vowel,2158,79.66%
part,-t,545,20.12%
part,-e,3,0.11%
part,-eth,2,0.07%
part,other,1,0.04%
pron%pl_gen,other,1049,98.59%
pron%pl_gen,-e,15,1.41%
gram_adj%pl,other,18,9.42%
gram_adj%pl,-e,148,77.49%
gram_adj%pl,vowel,25,13.09%
n%gen,other,396,100.00%
num_adj,-en,22,3.32%
