headword,successes,failures,total,failure_rate,high_failure
quethen,0,3,3,1.0,YES
comen,1,5,6,0.8333333333333334,NO
liven,1,3,4,0.75,NO
sen,2,5,7,0.7142857142857143,NO
usen,1,2,3,0.6666666666666666,NO
biginnen,1,2,3,0.6666666666666666,NO
lien,1,2,3,0.6666666666666666,NO
haven,24,20,44,0.45454545454545453,NO
durren,3,2,5,0.4,NO
yeven,2,1,3,0.3333333333333333,NO
bisechen,2,1,3,0.3333333333333333,NO
rennen,4,2,6,0.3333333333333333,NO
singen,2,1,3,0.3333333333333333,NO
moten,5,2,7,0.2857142857142857,NO
mouen,19,5,24,0.20833333333333334,NO
witen,4,1,5,0.2,NO
finden,4,1,5,0.2,NO
shulen,38,9,47,0.19148936170212766,NO
connen,10,2,12,0.16666666666666666,NO
heren,6,1,7,0.14285714285714285,NO
wenen,6,1,7,0.14285714285714285,NO
willen,31,4,35,0.11428571428571428,NO
ginnen,26,3,29,0.10344827586206896,NO
ben,131,10,141,0.07092198581560284,NO
seien,28,2,30,0.06666666666666667,NO
wenden,16,1,17,0.058823529411764705,NO
knouen,6,0,6,0.0,NO
casten,5,0,5,0.0,NO
crien,6,0,6,0.0,NO
speden,4,0,4,0.0,NO
setten,5,0,5,0.0,NO
maken,13,0,13,0.0,NO
tellen,6,0,6,0.0,NO
don,8,0,8,0.0,NO
stonden,4,0,4,0.0,NO
werken,5,0,5,0.0,NO
lasten,3,0,3,0.0,NO
fallen,4,0,4,0.0,NO
fighten,3,0,3,0.0,NO
preien,3,0,3,0.0,NO
menen,3,0,3,0.0,NO
