Headword,Stem Forms,All Forms,Always Ends in E
gret,great; greet; gret; grete,great; greet; gret; grete; gretter; grettest; gretteste,No
grene,grene,grene,Yes
olde,old; olde,elder; eldest; old; olde,No
mo,,mo,No
thikke,thikke,thikke; thikkeste,Yes
heigh,heigh; heighe; hie; high; hy; hye,heigh; heighe; hie; high; hy; hye; hyer; hyeste,No
ded,ded; dede; deed,ded; dede; deed,No
ware,war; ware,war; ware,No
laste,,last; laste,No
riche,riche,riche; richest,Yes
fre,fre; free,fre; free,Yes
wise,wis; wise,wis; wise; wiser; wisest,No
clene,clene,clene,Yes
stable,stable,stable,Yes
secre,secree,secree,Yes
worth,worth; worthe,worth; worthe,No
smal,smal; smale; small; smalle,smal; smale; small; smalle,No
long,lange; long; longe,lange; lengest; long; longe,No
foul,foul; foule,foul; foule; fouler,No
hole,hole; hool,hole; hool,No
lef,leef; leve; lief,leef; leve; lever; levere; levest; lief,No
nexte,,nexte,No
sauf,sauf,sauf; save,No
proud,proud; proude,proud; proude; proudest; proudeste,No
glad,glad; gladde; glade,glad; gladde; gladder; gladdest; glade,No
noble,noble,noble; nobleste,Yes
lege,lige,lige,Yes
most,,most; moste,No
neue,new; newe,new; newe; newer,No
povre,pore; pour; poure; povre,pore; pour; poure; povre,No
muche,moche; much; muche,moche; much; muche,No
dere,deere; der; dere,deere; der; dere,No
fair,fair; faire,fair; faire; fairer; fairest; faireste,No
derk,derk; derke,derk; derke; derkest,No
straunge,estraunge; strange; straunge,estraunge; strange; straunge; straunger,Yes
rude,rude,rude,Yes
god,gode; good; goode,gode; good; goode,No
loue,lowe,lowe; lower,Yes
treu,trew; trewe,trew; trewe; trewest,No
humble,humble,humble,Yes
yong,yong; yonge,yong; yonge; yongeste,No
best,,best; beste,No
wroth,wrooth; wroothe; wroth; wrothe,wrooth; wroothe; wroth; wrothe,No
wod,wode; wood,wode; wood,No
mek,meke,meke,Yes
fresh,fresh; fresshe,fresh; fresshe; fressher; fresshest; fressheste,No
blak,blak; blake,blak; blake,No
lame,lame,lame,Yes
blind,blind; blinde,blind; blinde,No
lik,lik; like,lik; like; liker,No
bleu,blew; blewe,blew; blewe,No
whit,whit; white,whit; white; whitter,No
red,red; rede; reed,red; redder; rede; reed,No
quik,quik; quike,quik; quike,No
ful,ful; full; fulle,ful; full; fulle,No
bright,bright; brighte,bright; brighte; brighter,No
kene,kene,kene,Yes
sori,sory,sory,No
bar,bare,bare,Yes
mad,mad; madde,mad; madde,No
wilde,wilde,wilde,Yes
bet,,bet,No
lene,lene,lene,Yes
dep,deep; depe,deep; depe,No
soth,sooth; soth; sothe,sooth; soth; sothe,No
voide,voide,voide,Yes
more,,moor; mor; more,No
right,right; righte,right; righte,No
loth,looth; loothe,looth; loothe; lothest,No
graunt,grant; graunt,grant; graunt,No
fremed,fremde; fremed,fremde; fremed,No
tender,tendre,tendre,Yes
bel,bele,bele,Yes
fals,fals; false,fals; false,No
ouen,awen; owen; owene; owne,awen; owen; owene; owne,No
wikke,wikke,wikke,Yes
juste,just; juste,just; juste,No
hot,hoot; hote,hoot; hote; hotter; hottere,No
pale,pale,pale,Yes
dul,dul; dulle,dul; dulle,No
wan,wan,wan,No
bai,bay; baye,bay; baye,No
pure,pure,pure,Yes
warm,warm; warme,warm; warme,No
cold,cold; colde,cold; colde,No
werse,,wers; werse; wors; worse,No
nice,nice,nice,Yes
hard,hard; harde,hard; harde; harder; hardest,No
ofte,ofte,ofte,Yes
prest,prest; preste,prest; preste,No
sharp,sharp; sharpe,sharp; sharpe,No
large,large,large,Yes
shene,shene,shene,Yes
dim,dimme,dimme,Yes
don,donne; dunne,donne; dunne,Yes
hust,hust,hust,No
gai,gay; gaye,gay; gaye; gayer,No
kinde,kinde,kinde; kindest,Yes
tough,tough,tough,No
softe,softe,softe; softer,Yes
salt,salte,salte,Yes
grek,greek,greek,No
yonder,,yonder,No
lite,lite,lite,Yes
leste,,leest; leeste; lest; leste,No
wel,weel; wel; wele,weel; wel; wele,No
bonde,bonde,bonde,Yes
light,light; lighte,light; lighte,No
sore,soor; sore,soor; sore,No
swifte,swift; swifte,swift; swifte; swifter,No
propre,propre,propre,Yes
sik,seek; seke; sik; sike,seek; seke; sik; sike,No
lesse,,lasse; lesse,No
plaine,plain; plein; pleine,plain; plein; pleine,No
sobre,sobre,sobre,Yes
fain,fain; faine; fawe,fain; faine; fawe,No
nerre,,neer; ner; nere,No
thinne,thinne,thinne,Yes
queinte,queint; queinte,queint; queinte,No
smert,smart; smerte,smart; smerte,No
crude,crude,crude,Yes
roughe,rough; rowe,rough; rowe,No
sad,sad; sadde,sad; sadde,No
bitter,bitter; bittre,bitter; bittre,No
swete,sweet; sweete; swete,sweet; sweete; swete,No
blithe,blithe,blithe,Yes
fol,fool,fool,No
sleigh,sleigh; slie; sly,sleigh; slie; sly,No
mis,mis,mis,No
fin,fin; fine,fin; fine; fineste,No
wrong,wrong; wronge,wrong; wronge,No
mene,mene,mene,Yes
holwe,holwe,holwe,Yes
simple,simple,simple,Yes
hevi,hevy,hevy,No
bold,bold; bolde,bold; bolde,No
prive,priv; prive; privee; privy,priv; prive; privee; privy,No
sote,sote; swote,sote; swote,Yes
mat,mat; mate,mat; mate,No
strong,strong; stronge,strong; stronge,No
flouri,floury,floury,No
real,real; royal,real; royal,No
cler,cleer; clere,cleer; clere; clerer,No
wid,wid; wide,wid; wide,No
digne,digne,digne,Yes
short,short; shorte,short; shorte; shortest,No
trouble,trouble,trouble,Yes
def,deef,deef,No
chef,cheef; chief,cheef; chief,No
chaste,chaast; chast; chaste,chaast; chast; chaste,No
badde,badde,badde,Yes
grei,gray; grey; greye,gray; grey; greye,No
crisp,crisp; crispe,crisp; crispe,No
slike,slik,slik,No
hende,hende,hende,Yes
late,late,late,Yes
gold,gold,gold,No
self,selve; selven,selve; selven,No
fers,fers; fiers; fierse,fers; fiers; fierse,No
werste,,worst; worste,No
drie,dreie; dreye; drie; drye,dreie; dreye; drie; drye,Yes
tame,tame,tame,Yes
huge,huge,huge,Yes
sterne,sterne,sterne,Yes
vein,vein; veine,vein; veine,No
prime,prime,prime,Yes
quite,quit,quit,No
streight,streght; streight; streighte,streght; streight; streighte,No
smothe,smooth; smothe,smooth; smothe,No
rounde,round; rounde,round; rounde,No
sounde,sounde,sounde,Yes
gent,gent,gent,No
fer,fer; ferre,fer; ferre; ferreste,No
broun,broun,broun,No
moiste,moiste,moiste,Yes
stale,stale,stale,Yes
fel,fel; felle,fel; felle,No
trie,trie,trie,Yes
big,big; bigge,big; bigge,No
couth,couth; couthe,couth; couthe,No
troian,troian; troyan; troyane,troian; troyan; troyane,No
stille,stille,stille,Yes
aspre,aspre,aspre,Yes
purpure,purpre,purpre,Yes
hos,hoors; hors,hoors; hors,No
half,half; halfe; halve,half; halfe; halve,No
derne,derne,derne,Yes
brod,brode; brood,brode; brood,No
yern,yerne,yerne,Yes
crul,crul; crulle,crul; crulle,No
neigh,ny; nye,ny; nye,No
weik,waike,waike,Yes
pleine,plein,plein,No
square,square,square,Yes
wet,weet; wete,weet; wete,No
wast,waste,waste,Yes
double,double,double,Yes
feble,feble,feble,Yes
thral,thral,thral,No
mete,mete,mete,Yes
plat,plat,plat,No
streit,streit; streite,streit; streite,No
grim,grim,grim,No
gaudi,gaude,gaude,Yes
kempe,kempe,kempe,Yes
stoute,stout; stoute,stout; stoute,No
paien,paien,paien,No
lift,left,left,No
loud,loud,loud,No
due,due,due,Yes
ferrene,ferne,ferne,Yes
coi,coy,coy,No
frensh,,frensh,No
deinte,deintee,deintee,Yes
balled,bald,bald,No
fat,fat,fat,No
stepe,stepe,stepe,Yes
souple,souple,souple,Yes
medle,medlee,medlee,Yes
tart,tart,tart,No
stif,stif,stif,No
domb,domb; doumb,domb; doumb,No
wrecche,wrecche,wrecche,Yes
slou,slowe,slowe,Yes
narwe,narwe,narwe,Yes
raied,rayed,rayed,No
flat,flat; flatte,flat; flatte,No
wo,wo,wo,No
ethe,ethe,ethe,Yes
fast,faste,faste,Yes
hor,hoor,hoor,No
los,laus; loos,laus; loos,No
sour,sour,sour,No
perte,pert,pert,No
ille,il; ille,il; ille,No
wight,wight,wight,No
roum,roum,roum; roumer,No
slik,slik,slik,No
yon,yon,yon,No
west,west,west,No
shrille,shrille,shrille,Yes
fix,fixe,fixe,Yes
ner,neer,neer,No
blaunk,blaunche,blaunche,Yes
